City,Violent,Nonviolent,Poverty-Families,Poverty-Individuals
"Davenport city, Iowa",1595.728756,6353.974353,10.5,14.1
"Davie town, Florida",391.2990313,4555.644624,6.9,9.8
"Davis city, California",441.1943513,2699.275677,5.4,24.5
"Dayton city, Ohio",1196.798389,8394.568737,18.2,23
"Daytona Beach city, Florida",1651.177743,8250.043837,16.9,23.6
"Dearborn city, Michigan",866.3073929,5698.502526,12.2,16.1
"Dearborn Heights city, Michigan",245.7466919,2997.078536,4.4,6.1
"Decatur city, Alabama",0,0,11.9,14.9
"Deer Park city, Texas",78.015291,1713.21579,4,5.6
"Deerfield Beach city, Florida",549.7952105,3437.142541,9.2,12.5
"Del Rio city, Texas",390.1205338,3704.799828,22.9,27
"Delano city, California",264.9634629,4239.415407,25.7,28.2
"Delaware city, Ohio",159.0773514,3535.494134,4.8,7.3
"Delray Beach city, Florida",1036.043119,7465.45067,8.2,11.8
"Deltona city, Florida",0,0,6.2,8.1
"Denton city, Texas",327.6699029,3595.873786,8.7,16.2
"Denver city, Colorado",544.3622188,4418.485296,10.6,14.3
"Des Moines city, Iowa",367.1467817,6643.046035,7.9,11.4
"Des Moines city, Washington",352.6300323,3592.418454,5.6,7.6
"DeSoto city, Texas",505.3863546,3694.640245,4.1,5.5
"Detroit city, Michigan",2273.984718,7574.018655,21.7,26.1
"Diamond Bar city, California",210.0316827,1379.445374,5,6
"Dodge City city, Kansas",0,0,11.1,13.9
"Dothan city, Alabama",521.7537659,4769.839266,12.7,15.6
"Dover city, Delaware",0,6255.24266,11.5,13.8
"Dover city, New Hampshire",0,0,4.8,8.4
"Downey city, California",352.2221071,2837.459857,9.3,11.1
"Draper city, Utah",0,0,1.8,2.7
"Dublin city, California",294.2665485,1733.957727,1.9,2.9
"Dublin city, Ohio",57.98151839,2783.112883,2.1,2.7
"Dubuque city, Iowa",209.100178,3207.354796,5.5,9.5
"Duluth city, Minnesota",376.404023,4180.002637,8.6,15.5
"Duncanville city, Texas",449.3540535,3594.832428,3.9,6.1
"Dunedin city, Florida",230.5429684,3132.204468,4.8,8.2
"Durham city, North Carolina",979.0662275,7717.439153,11.3,15
"Eagan city, Minnesota",123.0171577,2944.31855,1.9,2.9
"East Chicago city, Indiana",0,0,22.5,24.4
"East Cleveland city, Ohio",0,0,28,32
"East Lansing city, Michigan",309.0564188,3224.843873,11,34.8
"East Orange city, New Jersey",1698.487306,5303.439957,15.9,19.2
"East Palo Alto city, California",1127.612761,3936.822254,13.5,16.2
"East Point city, Georgia",0,0,17.2,20.7
"East Providence city, Rhode Island",221.2957657,1774.317836,6.3,8.6
"Easton city, Pennsylvania",683.4768506,3988.879021,12.3,16
"Eastpointe city, Michigan",562.4760727,3949.112112,4.2,6.4
"Eau Claire city, Wisconsin",222.6845681,3962.810052,5.5,13.6
"Eden Prairie city, Minnesota",122.0463776,3037.154119,2.8,3.5
"Edina city, Minnesota",65.83418281,2900.95141,2,3.3
"Edinburg city, Texas",691.536607,9231.062048,25.2,29.2
"Edmond city, Oklahoma",74.34619085,2230.385726,4.4,7.2
"Edmonds city, Washington",71.89761779,2360.638451,2.6,4.6
"El Cajon city, California",647.6911775,3301.569565,13.5,16.7
"El Centro city, California",887.9408701,4308.249417,20.6,22.8
"El Monte city, California",927.539247,2252.099966,22.5,26.1
"El Paso city, Texas",689.6097336,4749.459576,19,22.2
"Elizabeth city, New Jersey",758.7558854,5421.560219,15.6,17.8
"Elkhart city, Indiana",642.7749836,10789.59832,11.1,13.6
"Elmira city, New York",0,0,17.9,23.1
"Elyria city, Ohio",0,0,9.5,11.7
"Emporia city, Kansas",0,0,12.4,17.9
"Encinitas city, California",277.928633,1903.970865,3.8,7.3
"Englewood city, Colorado",0,0,4.9,8.2
"Englewood city, New Jersey",218.7511993,2540.584104,6.6,8.9
"Enid city, Oklahoma",465.0962491,5337.840748,11.1,14.8
"Erie city, Pennsylvania",449.461993,3243.440935,13.8,18.8
"Escondido city, California",534.2170406,3537.491017,9.3,13.4
"Euclid city, Ohio",270.4218581,4354.793478,7.1,9.7
"Eugene city, Oregon",460.476965,6893.785789,8.7,17.1
"Euless city, Texas",213.5633676,2962.668286,5.7,7
"Eureka city, California",569.4894098,7863.634591,15.8,23.7
"Evansville city, Indiana",499.659141,4484.901953,10.1,13.7
"Everett city, Massachusetts",906.2430074,2503.356456,9.2,11.8
"Everett city, Washington",633.9303683,6329.241296,10.1,12.9
"Fair Lawn borough, New Jersey",143.155012,1484.455233,2.6,3.7
"Fairbanks city, Alaska",621.1929317,4444.846511,7.4,10.5
"Fairborn city, Ohio",231.9095846,4306.472919,8.9,14.1
"Fairfield city, California",573.8348289,3973.355396,7.1,9.3
"Fairfield city, Ohio",342.698871,5048.940215,2.5,4.2
"Fall River city, Massachusetts",588.5764612,3306.983438,14,17.1
"Fargo city, North Dakota",120.9203381,3102.502379,6.6,11.8
"Farmers Branch city, Texas",298.8556017,4876.448721,4,6.3
"Farmington city, New Mexico",904.657573,4014.41798,12.9,16
"Farmington Hills city, Michigan",200.50812,2229.251768,2.4,4.1
"Fayetteville city, Arkansas",329.8055624,4417.097383,11.4,19.9
"Fayetteville city, North Carolina",660.1979705,7511.862238,11.7,14.8
"Federal Way city, Washington",439.7595106,5846.832419,6.9,9.3
"Findlay city, Ohio",0,0,5.9,9.1
"Fishers town, Indiana",122.4621334,2017.402514,1.1,1.8
"Fitchburg city, Massachusetts",1037.429294,4072.692261,12.1,15
